# Usuarios Tiempo_Real Tiempo_Estimado
1 5 5.03471
2 12 11.9856
3 23 22.9683
4 38 37.9826
5 57 57.0287
0 2.11553 2.11553
0.25 2.46735 2.46735
0.5 3.07116 3.07116
0.75 3.92694 3.92694
1 5.03471 5.03471
1.25 6.39447 6.39447
1.5 8.0062 8.0062
1.75 9.86992 9.86992
2 11.9856 11.9856
2.25 14.3533 14.3533
2.5 16.973 16.973
2.75 19.8446 19.8446
3 22.9683 22.9683
3.25 26.3439 26.3439
3.5 29.9715 29.9715
3.75 33.8511 33.8511
4 37.9826 37.9826
4.25 42.3662 42.3662
4.5 47.0017 47.0017
4.75 51.8892 51.8892
5 57.0287 57.0287
5.25 62.4202 62.4202
5.5 68.0637 68.0637
5.75 73.9591 73.9591
